Title,Link,Competencies
Account Manager Solution,https://www.shl.com/solutions/products/product-catalog/view/account-manager-solution/,"['Critical Thinking', 'Problem Solving', 'Attention to Detail', 'Business Communication']"
Administrative Professional - Short Form,https://www.shl.com/solutions/products/product-catalog/view/administrative-professional-short-form/,"['Attention to Detail', 'Knowledge of Subject', 'Problem Solving']"
Agency Manager Solution,https://www.shl.com/solutions/products/product-catalog/view/agency-manager-solution/,"['Attention to Detail', 'Business Communication', 'Problem Solving', 'Sales Skills']"
Apprentice + 8.0 Job Focused Assessment,https://www.shl.com/solutions/products/product-catalog/view/apprentice-8-0-job-focused-assessment-4261/,"['Business Communication', 'Problem Solving']"
Apprentice 8.0 Job Focused Assessment,https://www.shl.com/solutions/products/product-catalog/view/apprentice-8-0-job-focused-assessment/,"['Business Communication', 'Problem Solving']"
Bank Administrative Assistant - Short Form,https://www.shl.com/solutions/products/product-catalog/view/bank-administrative-assistant-short-form/,"['Attention to Detail', 'Business Communication', 'Knowledge of Subject', 'Problem Solving']"
Bank Collections Agent - Short Form,https://www.shl.com/solutions/products/product-catalog/view/bank-collections-agent-short-form/,"['Attention to Detail', 'Business Communication', 'Problem Solving']"
Bank Operations Supervisor - Short Form,https://www.shl.com/solutions/products/product-catalog/view/bank-operations-supervisor-short-form/,"['Attention to Detail', 'Business Communication', 'Problem Solving', 'Sales Skills']"
Bilingual Spanish Reservation Agent Solution,https://www.shl.com/solutions/products/product-catalog/view/bilingual-spanish-reservation-agent-solution/,"['Business Communication', 'Problem Solving', 'Sales Skills', 'Attention to Detail']"
"Bookkeeping, Accounting, Auditing Clerk Short Form",https://www.shl.com/solutions/products/product-catalog/view/bookkeeping-accounting-auditing-clerk-short-form/,"['Problem Solving', 'Sales Skills', 'Knowledge of Subject', 'Business Communication', 'Attention to Detail']"
Branch Manager - Short Form,https://www.shl.com/solutions/products/product-catalog/view/branch-manager-short-form/,"['Attention to Detail', 'Business Communication', 'Problem Solving']"
Cashier Solution,https://www.shl.com/solutions/products/product-catalog/view/cashier-solution/,"['Business Communication', 'Attention to Detail', 'Problem Solving']"
Global Skills Development Report,https://www.shl.com/solutions/products/product-catalog/view/global-skills-development-report/,"['Attention to Detail', 'Emotional Intelligence', 'Business Communication', 'Critical Thinking', 'Data Interpretation', 'Problem Solving']"
.NET Framework 4.5,https://www.shl.com/solutions/products/product-catalog/view/net-framework-4-5/,['Knowledge of Subject']
.NET MVC (New),https://www.shl.com/solutions/products/product-catalog/view/net-mvc-new/,['Knowledge of Subject']
.NET MVVM (New),https://www.shl.com/solutions/products/product-catalog/view/net-mvvm-new/,['Knowledge of Subject']
.NET WCF (New),https://www.shl.com/solutions/products/product-catalog/view/net-wcf-new/,['Knowledge of Subject']
.NET WPF (New),https://www.shl.com/solutions/products/product-catalog/view/net-wpf-new/,['Knowledge of Subject']
.NET XAML (New),https://www.shl.com/solutions/products/product-catalog/view/net-xaml-new/,['Knowledge of Subject']
Accounts Payable (New),https://www.shl.com/solutions/products/product-catalog/view/accounts-payable-new/,['Knowledge of Subject']
Accounts Payable Simulation (New),https://www.shl.com/solutions/products/product-catalog/view/accounts-payable-simulation-new/,['Sales Skills']
Accounts Receivable (New),https://www.shl.com/solutions/products/product-catalog/view/accounts-receivable-new/,['Knowledge of Subject']
Accounts Receivable Simulation (New),https://www.shl.com/solutions/products/product-catalog/view/accounts-receivable-simulation-new/,['Sales Skills']
ADO.NET (New),https://www.shl.com/solutions/products/product-catalog/view/ado-net-new/,['Knowledge of Subject']
